Timestamp,Class,Confidence
2026-02-10 22:52:33,Pothole,0.81
2026-02-10 22:52:33,Pothole,0.74
2026-02-10 22:52:33,Pothole,0.68
2026-02-10 22:52:35,Pothole,0.74
2026-02-10 22:52:36,Pothole,0.80
2026-02-10 22:52:37,Pothole,1.00
2026-02-10 22:52:37,Pothole,0.76
2026-02-10 22:52:38,Pothole,1.00
2026-02-10 22:52:38,Pothole,0.89
2026-02-10 22:52:39,Pothole,0.99
2026-02-10 22:52:39,Pothole,0.66
2026-02-10 22:52:40,Pothole,0.94
2026-02-10 22:52:40,Pothole,0.74
2026-02-10 22:52:40,Pothole,0.74
2026-02-10 22:52:41,Pothole,0.74
2026-02-10 22:52:41,Pothole,0.69
2026-02-10 22:52:41,Pothole,0.67
2026-02-10 22:52:42,Pothole,0.86
2026-02-10 22:52:42,Pothole,0.72
2026-02-10 22:52:42,Pothole,0.65
2026-02-10 22:52:43,Pothole,0.73
2026-02-10 22:52:44,Pothole,1.00
2026-02-10 22:52:45,Pothole,0.75
2026-02-10 22:52:45,Pothole,0.61
2026-02-10 22:52:46,Pothole,0.92
2026-02-10 22:52:46,Pothole,0.86
2026-02-10 22:52:47,Pothole,0.76
2026-02-10 22:52:48,Pothole,0.66
2026-02-10 22:52:49,Pothole,0.83
2026-02-10 22:52:49,Pothole,0.62
